time,open,high,low,close,tick_volume,spread,real_volume
2021-03-12 02:00:00,1.19809,1.19848,1.19802,1.19831,1828,0,0
2021-03-12 03:00:00,1.19831,1.19885,1.1983,1.19843,1812,0,0
2021-03-12 04:00:00,1.19843,1.19847,1.19597,1.19623,2572,0,0
2021-03-12 05:00:00,1.19625,1.19661,1.19602,1.19618,1912,0,0
2021-03-12 06:00:00,1.19618,1.19676,1.1960899999999999,1.19661,1109,0,0
2021-03-12 07:00:00,1.19661,1.19672,1.19617,1.19636,1459,0,0
2021-03-12 08:00:00,1.19636,1.19636,1.1945999999999999,1.19491,3681,0,0
2021-03-12 09:00:00,1.19491,1.19509,1.19376,1.19453,4878,0,0
2021-03-12 10:00:00,1.19453,1.19479,1.19284,1.19332,6474,0,0
2021-03-12 11:00:00,1.19332,1.1937,1.1911100000000001,1.19179,4859,0,0
2021-03-12 12:00:00,1.19179,1.19229,1.19101,1.19208,3527,0,0
2021-03-12 13:00:00,1.19208,1.1923300000000001,1.19137,1.19169,4040,0,0
2021-03-12 14:00:00,1.1917,1.19359,1.19161,1.19348,3994,0,0
2021-03-12 15:00:00,1.19348,1.19404,1.1921599999999999,1.19265,6226,0,0
2021-03-12 16:00:00,1.19265,1.19351,1.19203,1.19315,8863,0,0
2021-03-12 17:00:00,1.19315,1.19393,1.19114,1.19371,8136,0,0
2021-03-12 18:00:00,1.19371,1.19553,1.19333,1.19523,5948,0,0
2021-03-12 19:00:00,1.19523,1.19568,1.19479,1.1948,3403,0,0
2021-03-12 20:00:00,1.1948,1.19554,1.19445,1.19524,2356,0,0
2021-03-12 21:00:00,1.19524,1.19546,1.19488,1.19489,1853,0,0
2021-03-12 22:00:00,1.19489,1.19615,1.19476,1.19607,1820,0,0
2021-03-12 23:00:00,1.1960600000000001,1.19612,1.19509,1.19518,1414,0,0
2021-03-15 00:00:00,1.19433,1.19513,1.19428,1.1949,642,23,0
2021-03-15 01:00:00,1.19485,1.19541,1.19434,1.19481,1392,0,0
2021-03-15 02:00:00,1.19481,1.19529,1.19447,1.19501,1341,0,0
2021-03-15 03:00:00,1.19501,1.19562,1.19498,1.19513,2346,0,0
2021-03-15 04:00:00,1.19513,1.19675,1.19504,1.19577,2841,0,0
2021-03-15 05:00:00,1.19577,1.19616,1.19432,1.19478,3300,0,0
2021-03-15 06:00:00,1.19478,1.19543,1.19472,1.1954,1742,0,0
2021-03-15 07:00:00,1.1954,1.19543,1.19425,1.19433,1849,0,0
2021-03-15 08:00:00,1.19433,1.19437,1.193,1.1932800000000001,2520,0,0
2021-03-15 09:00:00,1.1932800000000001,1.19357,1.19256,1.1935,2634,0,0
2021-03-15 10:00:00,1.1935,1.19376,1.19178,1.19198,4216,0,0
2021-03-15 11:00:00,1.19199,1.1939899999999999,1.19196,1.19367,5113,0,0
2021-03-15 12:00:00,1.19368,1.194,1.19224,1.19258,3762,0,0
2021-03-15 13:00:00,1.19258,1.1930399999999999,1.19192,1.1930399999999999,2685,0,0
2021-03-15 14:00:00,1.1930399999999999,1.19342,1.19211,1.19228,3036,0,0
2021-03-15 15:00:00,1.19228,1.1933799999999999,1.19209,1.19248,4498,0,0
2021-03-15 16:00:00,1.19249,1.19308,1.19161,1.19204,5203,0,0
2021-03-15 17:00:00,1.19204,1.19303,1.19152,1.19278,5000,0,0
2021-03-15 18:00:00,1.19278,1.19339,1.19112,1.19154,5444,0,0
2021-03-15 19:00:00,1.19154,1.19372,1.19152,1.1923,4030,0,0
2021-03-15 20:00:00,1.1923,1.19314,1.19194,1.19279,2119,0,0
2021-03-15 21:00:00,1.19279,1.19323,1.19252,1.19258,1756,0,0
2021-03-15 22:00:00,1.19258,1.193,1.19212,1.19298,1602,0,0
2021-03-15 23:00:00,1.19298,1.19336,1.19287,1.19298,1027,0,0
2021-03-16 00:00:00,1.19272,1.19353,1.19225,1.19273,599,0,0
2021-03-16 01:00:00,1.19273,1.19298,1.1924299999999999,1.19245,911,0,0
2021-03-16 02:00:00,1.19245,1.1927,1.19242,1.19263,701,0,0
2021-03-16 03:00:00,1.19263,1.19317,1.19222,1.19227,1447,0,0
2021-03-16 04:00:00,1.19227,1.1932,1.19223,1.19278,1724,0,0
2021-03-16 05:00:00,1.19278,1.19284,1.19221,1.19263,1776,0,0
2021-03-16 06:00:00,1.19263,1.19372,1.1925,1.19336,1680,0,0
2021-03-16 07:00:00,1.19337,1.19386,1.1932800000000001,1.19378,1047,0,0
2021-03-16 08:00:00,1.19378,1.19387,1.19344,1.19349,1121,0,0
2021-03-16 09:00:00,1.1935,1.19352,1.19274,1.19295,1852,0,0
2021-03-16 10:00:00,1.19295,1.19298,1.19156,1.19164,3522,0,0
2021-03-16 11:00:00,1.19164,1.19288,1.19136,1.19268,3855,0,0
2021-03-16 12:00:00,1.19268,1.19355,1.19224,1.19289,3499,0,0
2021-03-16 13:00:00,1.19289,1.19456,1.19271,1.19442,3063,0,0
2021-03-16 14:00:00,1.19442,1.19518,1.1943,1.19471,3342,0,0
2021-03-16 15:00:00,1.19471,1.19498,1.19204,1.19229,5914,0,0
2021-03-16 16:00:00,1.19229,1.19274,1.18971,1.19026,8028,0,0
2021-03-16 17:00:00,1.19026,1.19138,1.18998,1.19092,5792,0,0
2021-03-16 18:00:00,1.19092,1.191,1.18822,1.18943,5616,0,0
2021-03-16 19:00:00,1.18942,1.18986,1.189,1.18932,3795,0,0
2021-03-16 20:00:00,1.18932,1.1909399999999999,1.18926,1.19027,4517,0,0
2021-03-16 21:00:00,1.19027,1.19089,1.19018,1.19038,2398,0,0
2021-03-16 22:00:00,1.19038,1.19101,1.19028,1.19052,1863,0,0
2021-03-16 23:00:00,1.19052,1.19069,1.19009,1.19024,749,0,0
2021-03-17 00:00:00,1.19021,1.19044,1.18971,1.19011,608,1,0
2021-03-17 01:00:00,1.19011,1.19039,1.19011,1.19017,397,0,0
2021-03-17 02:00:00,1.19017,1.19046,1.19001,1.1902,749,0,0
2021-03-17 03:00:00,1.1902,1.19061,1.18998,1.19013,1584,0,0
2021-03-17 04:00:00,1.19013,1.19022,1.18927,1.18969,1928,0,0
2021-03-17 05:00:00,1.18969,1.19017,1.1896,1.19017,1265,0,0
2021-03-17 06:00:00,1.19017,1.19043,1.18994,1.19012,970,0,0
2021-03-17 07:00:00,1.19012,1.19037,1.18994,1.19035,798,0,0
2021-03-17 08:00:00,1.19035,1.19043,1.18979,1.1898,1229,0,0
2021-03-17 09:00:00,1.1898,1.1908,1.18971,1.19076,1355,0,0
2021-03-17 10:00:00,1.19076,1.1908,1.1891,1.18912,2508,0,0
2021-03-17 11:00:00,1.18912,1.1899899999999999,1.18862,1.1898,2863,0,0
2021-03-17 12:00:00,1.1898,1.19167,1.18969,1.19106,3364,0,0
2021-03-17 13:00:00,1.19106,1.1915499999999999,1.19065,1.19112,2025,0,0
